Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
casas à venda no valor de 20 mil reais,1600,15,"0,08","0,36",71,Transactional
celta a venda,1600,27,"0,04","0,37",77,Commercial
chácaras à venda,1600,32,"0,05","0,44",12100000,Transactional
contrato de compra e venda de veículo,1600,12,"0,07","0,32",5810000,Transactional
contrato de compra e venda pdf,1600,11,"0,05","0,35",68900000,Transactional
contrato particular de compra e venda,1600,15,"0,06","0,31",43900000,Transactional
declaração de compra e venda,1600,19,"0,06","0,06",46100000,"Informational, Transactional"
enjoei to vendendo,1600,27,"0,1","0,98",82,"Navigational, Transactional"
f 100 a venda,1600,21,"0,03","0,13",95,"Informational, Transactional"
f100 a venda,1600,21,"0,03","0,13",72,"Informational, Transactional"
f350 a venda,1600,23,"0,03","0,25",58,Commercial
ford f 350 a venda,1600,25,"0,03","0,25",53,Commercial
frases motivacionais trabalho vendas,1600,25,"0,09",0,3800000,Commercial
fusca a venda em sc,1600,23,"0,03","0,2",70,Commercial
god of war ragnarok pré venda,1600,21,0,"0,38",140000,Transactional
gordini a venda,1600,18,"0,02","0,1",284000,Commercial
hilux a venda,1600,21,"0,07","0,26",81,Commercial
imoveis a venda no rs,1600,23,0,"0,2",25200000,Commercial
imoveis caixa a venda,1600,52,"0,32","0,01",70,"Navigational, Transactional"
imovel a venda,1600,63,"0,13","0,49",23400000,Commercial
itapetinga compras e vendas,1600,23,0,0,83,Transactional
kombi a venda rs,1600,21,"0,02","0,27",69,Commercial
kombi home a venda,1600,22,"0,03","0,2",78,"Informational, Transactional"
lotes a venda,1600,29,"0,16","0,39",82,Commercial
mais vendidos,1600,33,"0,04","0,08",123000000,Commercial
mais vendidos mercado livre,1600,34,"0,09","0,04",38,Transactional
micro ônibus a venda,1600,17,"0,02","0,29",5010000,Transactional
modelo de contrato de compra e venda de imóvel,1600,14,"0,06","0,44",6450000,Transactional
mp lafer a venda,1600,23,"0,02","0,15",75,Commercial
oração para vender,1600,20,"0,26","0,02",4320000,"Informational, Commercial"
palio a venda em bh,1600,20,"0,04","0,15",50,Commercial
pas carregadeiras a venda,1600,14,"0,09","0,76",86,Commercial
peixaria bar e venda,1600,29,0,0,73,"Informational, Transactional"
perfume boticário masculino mais vendido,1600,16,"0,09",1,80,Commercial
perfume natura feminino mais vendido,1600,15,"0,07",1,73,"Informational, Commercial"
perfumes natura feminino mais vendidos,1600,21,"0,07",1,72,Commercial
placa de vende se para imprimir,1600,21,"0,26","0,86",39500000,"Informational, Commercial"
planilha de venda,1600,21,"0,54","0,34",5440000,"Informational, Transactional"
planilha para calcular preço de venda de um produto,1600,19,"0,12","0,13",1750000,Transactional
plataformas de venda online,1600,36,"1,56","0,63",14500000,Commercial
rd 350 a venda,1600,28,"0,02","0,05",60,Commercial
s10 a venda em sc,1600,19,"0,09","0,29",68,Commercial
scania 113 a venda,1600,15,"0,02","0,23",60,Commercial
segunda via compra e venda detran,1600,27,"0,04","0,01",86,Transactional
silverado a venda,1600,18,"0,07","0,22",84,Commercial
simular venda pagseguro,1600,35,0,0,57,Commercial
sites de venda de carros,1600,71,"0,22","0,59",19700000,Commercial
sobrados a venda em curitiba,1600,13,"0,07","0,62",1370000,Commercial
toyota bandeirantes a venda,1600,23,"0,03","0,2",75,Commercial
trailers a venda,1600,14,"0,03","0,25",96,Commercial
tratores usados a venda,1600,17,"0,06","0,59",89,Transactional
van a venda,1600,26,"0,07","0,41",61000000,Commercial
venda apartamento,1600,45,"0,22","0,46",89,Commercial
venda apt,1600,52,"0,22","0,46",46,Commercial
venda de caminhão,1600,28,"0,08","0,43",95,Commercial
venda de gas,1600,37,"0,29","0,2",48200000,Commercial
venda de ingressos,1600,82,"0,26","0,23",18100000,Commercial
venda de pneus,1600,55,"0,33",1,28000000,Commercial
venda de veículos,1600,73,"0,37","0,4",86700000,Commercial
venda imoveis,1600,81,"0,34","0,5",34500000,Commercial
venda imoveis caixa,1600,52,"0,31","0,03",74,"Navigational, Transactional"
vendas de milhas,1600,51,"0,19","0,4",767000,Commercial
vendas por atacado,1600,31,"0,12",1,21400000,Commercial
vende se esta casa,1600,21,0,"0,36",275000000,"Informational, Transactional"
vender dolar,1600,30,"0,11","0,33",16500000,Commercial
vender pontos,1600,42,"0,17","0,38",58400000,"Informational, Commercial"
vendo motorhome urgente,1600,21,"0,07","0,08",60,Commercial
ap a venda em bh,1300,28,"0,35","0,65",73,Commercial
apartamento 2 quartos guará venda,1300,11,"0,08","0,6",49,Commercial
apartamento a venda em fortaleza,1300,24,"0,11","0,56",6080000,Commercial
apartamento a venda em ubatuba,1300,19,"0,07","0,62",98,Commercial
apartamento para vender,1300,52,"0,19","0,54",79,Commercial
apartamento praia grande venda urgente,1300,17,"0,08","0,61",53,Commercial
apartamentos a venda em fortaleza,1300,24,"0,11","0,56",87,Commercial
apartamentos a venda em goiania,1300,21,"0,27","0,62",80,Commercial
apartamentos a venda em goiânia até 150 mil,1300,13,"0,22","0,62",44,Commercial
apartamentos a venda são paulo,1300,48,"0,42","0,67",57,Commercial
apartamentos para venda,1300,40,"0,19","0,54",71,Commercial
aplicativo de vendas,1300,33,"1,22","0,54",56400000,Commercial
apto a venda praia grande,1300,19,"0,09","0,64",96,Commercial
armação de óculos de grau masculino mais vendidos,1300,19,"0,08",1,76,Commercial
assistencia tecnica brastemp venda peças,1300,19,"0,15","0,35",296000,"Navigational, Transactional"
bitruck a venda,1300,14,"0,09","0,34",34,Commercial
bora vender,1300,21,"0,04","0,43",9370000,"Informational, Transactional"
cachorrinhos para venda,1300,15,"0,1","0,41",285000,Commercial
camaro a venda,1300,21,"0,11","0,28",86,Commercial
caminhao truck a venda,1300,18,"0,04","0,4",62,Commercial
caminhoes truck a venda,1300,12,"0,04","0,4",81,Commercial
caminhão 3/4 a venda,1300,19,"0,06","0,43",62,Commercial
caminhão a venda em mg,1300,17,"0,04","0,12",91,Commercial
caminhão à venda,1300,26,"0,05","0,39",93,Transactional
carro a venda olx,1300,38,"0,09","0,22",27,"Navigational, Transactional"
carro para vender,1300,78,"0,1","0,41",99,Commercial
carros a venda em bh,1300,40,"0,09","0,34",14700000,Commercial
carros a venda em sc,1300,20,"0,08","0,44",17100000,Commercial
carros a venda em sp,1300,37,"0,11","0,52",50800000,Commercial
carros a vendas,1300,74,"0,09","0,5",59300000,Commercial
casa a venda curitiba,1300,29,"0,06","0,61",39100000,Commercial
casa a venda em indaiatuba,1300,17,"0,08","0,62",97,Commercial
casa a venda guarulhos,1300,21,"0,11","0,62",92,Commercial
casas a venda campinas,1300,20,"0,1","0,61",83,Commercial
casas a venda em barueri,1300,19,"0,08","0,59",6470000,Commercial
casas a venda em bertioga,1300,15,"0,13","0,66",1350000,Commercial
casas a venda em blumenau,1300,16,"0,09","0,58",3740000,Commercial
casas a venda em cabo frio,1300,14,"0,04","0,5",10800000,Commercial
casas a venda em campinas,1300,19,"0,1","0,64",80,Commercial
casas a venda em campo grande rj,1300,17,"0,04","0,52",96,Commercial
casas a venda em contagem,1300,17,"0,08","0,63",96,Commercial
casas a venda em cotia,1300,17,"0,09","0,61",95,Commercial
casas a venda em goiania,1300,16,"0,08","0,53",84,Commercial
casas a venda em guarulhos,1300,20,"0,1","0,61",84,Commercial
casas a venda em itapaci go,1300,14,0,"0,12",72,Commercial
casas a venda em manaus,1300,20,"0,05","0,5",92,Commercial
casas a venda em mogi das cruzes,1300,19,"0,07","0,61",4680000,Commercial
casas a venda em osasco,1300,20,"0,1","0,64",93,Commercial
casas a venda em peruibe,1300,19,"0,04","0,62",964000,Commercial
casas a venda em piracicaba,1300,17,"0,08","0,67",2890000,Commercial
casas a venda em santos,1300,20,"0,07","0,63",95,Commercial
casas a venda praia grande,1300,19,"0,06","0,6",65700000,Commercial
casas a venda sorocaba,1300,18,"0,07","0,6",94,Commercial
casas venda,1300,54,"0,08","0,49",99,Commercial
casas à vendas,1300,36,"0,09","0,34",49500000,Transactional
cavalo para vende,1300,27,"0,02","0,17",92,Transactional
cavalo para vender,1300,35,"0,02","0,17",92,"Informational, Transactional"
cavalo quarto de milha a venda,1300,7,"0,03","0,19",77,"Informational, Transactional"
cavalos a venda em sc,1300,25,"0,02","0,04",82,Transactional
chacaras a venda em atibaia,1300,11,"0,05","0,56",92,Commercial
chácara à venda,1300,30,"0,05","0,44",20000000,Transactional
clinica venda nova,1300,14,"0,15","0,27",5330000,Commercial
clinicas em venda nova,1300,13,"0,16","0,43",1690000,Commercial
cnae promoção de vendas,1300,21,"0,1","0,04",460000,Commercial
compra e venda rolim de moura,1300,18,"0,18","0,01",88,Transactional
container para vender,1300,21,"0,15",1,12500000,"Informational, Transactional"
contrato compra e venda veiculo,1300,15,"0,09","0,33",1880000,Transactional
contrato de compra e venda imovel,1300,13,"0,07","0,39",7210000,Transactional
contrato de compra e venda veiculo,1300,12,"0,07","0,36",880000,Transactional
contrato de promessa de compra e venda,1300,15,"0,04","0,27",4140000,Transactional
contrato de venda de veiculo,1300,15,"0,07","0,36",2530000,Commercial
corsa a venda campinas,1300,19,"0,03","0,29",57,Commercial
crm de vendas,1300,36,"2,68","0,64",9870000,Commercial
curcumed vende em farmácia,1300,22,"0,32",1,49,Transactional
d 20 a venda,1300,21,"0,02","0,2",84,Commercial
deus ta vendo,1300,35,0,0,9020000,"Informational, Transactional"
deus tá vendo,1300,32,0,0,91,"Informational, Transactional"
ekko vendas,1300,27,"0,22","0,18",63,Commercial
empresas a venda,1300,14,"0,18","0,6",362000000,Commercial
f75 a venda,1300,24,"0,02","0,18",51,Commercial
familia vende tudo,1300,27,"0,06","0,29",6910000,"Informational, Commercial"
fazenda a venda em ipora go,1300,14,"0,02","0,51",78,Commercial
fazenda a venda na bahia,1300,19,"0,02","0,5",94,Commercial
ferrari a venda,1300,20,"0,05","0,27",16200000,Commercial
fonte venda,1300,13,"0,44","0,01",715000000,Commercial
frase de vendas,1300,21,"0,12","0,04",12500000,Commercial
frase motivacional vendas,1300,23,"0,12","0,03",12500000,Commercial
frases para vendas,1300,21,"0,12","0,06",19400000,Commercial
frases sobre vendas,1300,21,"0,08","0,01",25800000,Commercial
furgao a venda,1300,13,"0,05","0,35",80,Commercial
fusca a venda são paulo,1300,20,"0,03","0,35",66,Commercial
fusca itamar a venda,1300,21,"0,02","0,19",62,Commercial
fusca venda,1300,22,"0,03","0,27",97,Commercial
geladeira usada para vender,1300,27,"0,03","0,7",56,"Informational, Transactional"
glico 100 vende em farmácia,1300,24,"0,9",1,50,Transactional
gol a venda,1300,21,"0,06","0,3",79,Commercial
gol a venda em bh,1300,20,"0,04","0,13",100,Commercial
gol gti a venda,1300,16,"0,04","0,14",61,Commercial
gol gts a venda,1300,27,"0,02","0,19",72,Commercial
grupo de vendas whatsapp,1300,19,"0,19","0,22",47100000,Commercial
grupos de vendas whatsapp,1300,23,"0,19","0,22",8280000,Commercial
hilux a venda no rs,1300,19,"0,05","0,19",61,Commercial
hotel venda nova do imigrante,1300,18,"0,07","0,1",340000,Commercial
iates a venda,1300,11,"0,04","0,39",384000,Commercial
imoveis a venda em curitiba,1300,35,"0,07","0,63",13600000,Commercial
intenção de venda detran mg,1300,29,0,0,42,"Navigational, Transactional"
intenção de venda detran rj,1300,25,0,0,70,"Navigational, Transactional"
jeep antigo a venda,1300,25,"0,05","0,15",66,Commercial
jet ski a venda,1300,11,"0,04","0,31",66,Commercial
kallas vendas,1300,33,"0,39","0,23",72,Commercial
kombi a venda em sc,1300,20,"0,02","0,4",66,Commercial
kombi a venda são paulo,1300,24,"0,03","0,41",59,Commercial
landau a venda,1300,20,"0,01","0,17",71,Commercial
livro sobre vendas,1300,22,"0,08",1,34300000,"Informational, Commercial"
livros de vendas,1300,26,"0,09",1,50400000,"Informational, Commercial"
livros sobre vendas,1300,19,"0,08",1,54300000,"Informational, Commercial"
maquina de vendas online,1300,25,"0,39","0,63",17400000,Commercial
me venda essa caneta,1300,24,0,0,2710000,Commercial
modelo contrato de compra e venda,1300,11,"0,05","0,27",395000000,Transactional
motivacional vendas,1300,28,"0,34","0,08",3110000,Commercial
moto venda,1300,46,"0,06","0,42",79700000,Commercial
motorhome a venda olx,1300,31,"0,08","0,08",46,"Navigational, Transactional"
motorhome a venda usado,1300,13,"0,03","0,17",1730000,Commercial
motorhome à venda,1300,28,"0,02","0,25",81,Transactional
motos antigas a venda,1300,8,"0,04","0,29",78,Commercial
motos usadas a venda,1300,43,"0,05","0,29",68,Commercial
munck usado a venda,1300,12,"0,06","0,33",44,"Informational, Transactional"
olx casas a venda,1300,31,"0,05","0,2",30,"Navigational, Transactional"
omega 4.1 a venda,1300,22,"0,02","0,15",51,Commercial
onde vende album da copa,1300,36,0,1,38300000,Transactional
opala a venda no rs,1300,20,"0,02","0,09",59,Commercial
oração para vender muito,1300,21,"0,27","0,01",2840000,Commercial
pampa a venda,1300,21,"0,02","0,25",82,Commercial
perfume boticario masculino mais vendido,1300,16,"0,09",1,69,Commercial
perfume eudora feminino mais vendido,1300,19,"0,11",1,79,Commercial
perfume masculino boticario mais vendido,1300,24,"0,08",1,75,Commercial
pinscher 0 venda,1300,21,"0,03","0,24",37,Commercial
plataforma de vendas,1300,36,"1,3","0,62",75100000,Commercial
pousada em venda nova do imigrante,1300,20,"0,06","0,13",81,"Informational, Transactional"
produto mais vendido no mercado livre,1300,31,"0,06","0,25",82,Commercial
quintoandar venda,1300,43,"0,32","0,43",56,"Navigational, Transactional"
rural willys a venda,1300,21,"0,02","0,15",80,Commercial
saveiro a venda em campos dos goytacazes,1300,21,0,"0,03",45,Commercial
saveiro a venda em sc,1300,15,"0,05","0,27",70,Commercial
sites de vendas de carros,1300,73,"0,22","0,59",6910000,Commercial
sites para vender fotos,1300,36,"0,07","0,45",37300000,"Informational, Commercial"
skyline r34 venda,1300,16,"0,09","0,07",96,Commercial
sobrado a venda,1300,20,"0,08","0,44",16500000,Commercial
sobrados a venda,1300,20,"0,08","0,44",10400000,Commercial
ta vendo,1300,33,0,0,175000000,"Informational, Transactional"
tenis mizuno feminino mais vendido,1300,23,"0,04",1,53,Commercial
terrenos a venda em curitiba,1300,20,"0,06","0,54",7410000,Commercial
terrenos a venda são paulo,1300,22,"0,12","0,58",85,Commercial
tobata a venda,1300,21,"0,03",1,37,"Informational, Transactional"
trator a venda no parana,1300,11,"0,05","0,24",96,Commercial
tratores a venda no parana,1300,11,"0,05","0,24",96,Transactional
ultraleve a venda,1300,7,"0,05","0,11",98,Commercial
venda de cachorros,1300,10,"0,1","0,43",43,Commercial
venda de celular,1300,50,"0,15",1,169000000,Commercial
venda de gás,1300,28,"0,29","0,2",28800000,Commercial
venda de imovel,1300,64,"0,23","0,43",27200000,Commercial
venda de moto,1300,39,"0,09","0,32",83200000,Commercial
venda de motos usadas,1300,44,"0,08","0,34",79,Commercial
venda de moveis usados,1300,16,"0,09","0,42",3540000,Commercial
venda de onibus urbanos usados,1300,12,"0,03","0,33",2980000,Transactional
venda de veicolos,1300,73,"0,37","0,4",56800000,Commercial
venda digital,1300,32,"0,76","0,29",210000000,"Informational, Commercial"
vendas de carro,1300,79,"0,33","0,46",53900000,Commercial
vendas de carro usados,1300,79,"0,26","0,5",16200000,Commercial
vendas de moto,1300,30,"0,09","0,32",28500000,Commercial
vendas premiadas,1300,8,"0,33",0,379000,Commercial
vende apto,1300,50,"0,22","0,46",69,Commercial
vende se picole,1300,27,0,"0,36",90,"Informational, Transactional"
vender cabelo,1300,22,"0,09","0,36",28000000,Commercial
vender celular,1300,24,"0,1","0,94",248000000,Commercial
vender consorcio,1300,30,"0,6","0,53",4440000,Commercial
vender iphone usado,1300,14,"0,07","0,84",74,Commercial
vender meu carro,1300,33,"1,24","0,65",53000000,Commercial
vender milhas latam,1300,24,"0,32","0,5",80,"Informational, Commercial"
vendo chacara urgente,1300,13,"0,05","0,43",52,Commercial
vendo chácara urgente,1300,13,"0,05","0,43",54,Commercial
vendo chácara urgente olx,1300,31,"0,06","0,14",33,"Navigational, Transactional"
608 a venda,1000,20,"0,02","0,19",67,Commercial
a biblia de vendas,1000,25,"0,05","0,92",2220000,"Informational, Transactional"
analista de vendas,1000,18,"0,1","0,04",92,"Informational, Commercial"
apartamento a venda curitiba,1000,20,"0,12","0,65",16700000,Commercial
apartamento a venda em maceio,1000,17,"0,08","0,55",95,Commercial
apartamento a venda guaruja,1000,19,"0,08","0,62",1090000,Commercial
apartamento a venda na praia grande,1000,19,"0,09","0,62",94,Commercial
apartamento para vendas,1000,44,"0,19","0,54",43,Commercial
